session,score,bankrupt,bankruptcy_day,trade_count,quote_count,fok_count,fill_rate,final_cash
111,1.71,False,,86,484,431,0.094,1.71
112,1.6000000000000003,False,,67,435,420,0.0784,1.6
113,1.5600000000000012,False,,39,449,456,0.0431,1.56
114,1.6800000000000015,False,,40,462,460,0.0434,1.68
115,1.3899999999999941,False,,64,444,483,0.069,1.39
116,1.9699999999999995,False,,65,431,423,0.0761,1.97
117,1.2899999999999987,False,,58,456,443,0.0645,1.29
118,1.4900000000000013,False,,40,450,465,0.0437,1.49
119,1.970000000000003,False,,62,437,457,0.0694,1.97
120,1.2599999999999987,False,,66,437,426,0.0765,1.26
121,1.51,False,,52,442,421,0.0603,1.51
122,1.7100000000000013,False,,44,439,412,0.0517,1.71
123,1.3299999999999987,False,,58,409,411,0.0707,1.33
124,1.6400000000000001,False,,62,453,474,0.0669,1.64
125,1.9199999999999997,False,,43,464,470,0.046,1.92
126,1.7399999999999973,False,,88,416,420,0.1053,1.74
127,1.0899999999999987,False,,65,439,465,0.0719,1.09
128,1.6800000000000004,False,,62,434,455,0.0697,1.68
129,1.030000000000001,False,,36,404,443,0.0425,1.03
130,1.7299999999999993,False,,53,440,420,0.0616,1.73
131,1.9499999999999997,False,,53,442,416,0.0618,1.95
132,1.6600000000000001,False,,71,408,420,0.0857,1.66
133,1.7500000000000029,False,,62,388,422,0.0765,1.75
134,1.3800000000000012,False,,57,449,426,0.0651,1.38
135,1.1600000000000001,False,,49,405,431,0.0586,1.16
136,1.8,False,,66,464,458,0.0716,1.8
137,1.1899999999999988,False,,54,463,435,0.0601,1.19
138,1.7999999999999992,False,,46,444,433,0.0525,1.8
139,1.5100000000000011,False,,60,485,485,0.0619,1.51
140,1.9700000000000004,False,,49,454,422,0.0559,1.97
141,1.280000000000002,False,,58,406,470,0.0662,1.28
142,1.6499999999999992,False,,63,412,433,0.0746,1.65
143,1.7699999999999994,False,,63,421,479,0.07,1.77
144,1.4699999999999984,False,,50,445,430,0.0571,1.47
145,1.1600000000000015,False,,53,444,458,0.0588,1.16
146,1.9600000000000004,False,,45,442,461,0.0498,1.96
147,1.7699999999999985,False,,35,480,467,0.037,1.77
148,1.9699999999999984,False,,38,436,430,0.0439,1.97
149,1.9099999999999986,False,,72,441,438,0.0819,1.91
150,1.9800000000000004,False,,39,382,441,0.0474,1.98
151,1.9,False,,63,441,415,0.0736,1.9
152,1.9300000000000004,False,,44,459,479,0.0469,1.93
153,1.0800000000000005,False,,32,444,446,0.036,1.08
154,1.6099999999999997,False,,49,463,471,0.0525,1.61
155,1.4999999999999982,False,,71,431,427,0.0828,1.5
156,1.2499999999999993,False,,66,446,450,0.0737,1.25
157,1.9300000000000006,False,,71,420,405,0.0861,1.93
158,1.1800000000000006,False,,56,406,433,0.0667,1.18
159,1.4299999999999993,False,,62,464,463,0.0669,1.43
160,1.16,False,,57,469,502,0.0587,1.16
161,1.3100000000000007,False,,66,438,459,0.0736,1.31
162,1.4700000000000013,False,,51,472,505,0.0522,1.47
163,1.9600000000000004,False,,71,458,436,0.0794,1.96
164,1.070000000000001,False,,46,430,442,0.0528,1.07
165,1.19,False,,31,427,381,0.0384,1.19
166,1.789999999999997,False,,73,463,456,0.0794,1.79
167,1.1599999999999995,False,,50,451,413,0.0579,1.16
168,1.9099999999999997,False,,71,473,440,0.0778,1.91
169,1.4299999999999995,False,,49,433,472,0.0541,1.43
170,1.7999999999999994,False,,47,424,431,0.055,1.8
171,1.0600000000000005,False,,48,440,450,0.0539,1.06
172,1.7400000000000007,False,,45,449,430,0.0512,1.74
173,1.9900000000000015,False,,65,433,423,0.0759,1.99
174,1.1500000000000006,False,,71,480,428,0.0782,1.15
175,1.9700000000000002,False,,46,435,415,0.0541,1.97
176,1.3299999999999992,False,,62,434,457,0.0696,1.33
177,1.3599999999999997,False,,60,416,432,0.0708,1.36
178,1.910000000000001,False,,38,404,393,0.0477,1.91
179,1.8599999999999999,False,,47,442,438,0.0534,1.86
180,1.75,False,,56,458,445,0.062,1.75
181,1.4399999999999984,False,,48,407,461,0.0553,1.44
182,1.17,False,,64,451,445,0.0714,1.17
183,1.740000000000001,False,,58,408,403,0.0715,1.74
184,3.470000000000005,False,,69,395,409,0.0858,3.47
185,1.490000000000004,False,,72,464,435,0.0801,1.49
186,1.2500000000000016,False,,69,458,453,0.0757,1.25
187,1.61,False,,63,474,470,0.0667,1.61
188,1.8200000000000003,False,,42,417,391,0.052,1.82
189,1.2800000000000005,False,,67,440,440,0.0761,1.28
190,1.5400000000000014,False,,71,433,415,0.0837,1.54
191,1.1299999999999968,False,,46,458,445,0.0509,1.13
192,1.5299999999999985,False,,67,455,469,0.0725,1.53
193,1.7599999999999998,False,,70,434,437,0.0804,1.76
194,1.9599999999999989,False,,53,470,452,0.0575,1.96
195,1.9300000000000006,False,,74,407,412,0.0904,1.93
196,1.6499999999999995,False,,42,454,486,0.0447,1.65
197,1.8200000000000007,False,,63,433,476,0.0693,1.82
198,1.6600000000000015,False,,52,425,447,0.0596,1.66
199,1.4699999999999993,False,,48,445,393,0.0573,1.47
